# T        <M>         <E>           chi            C            frac_acept
  2.2480     0.68807334    -1.46144559   221.52485647    39.16810105     0.18192504
  2.2500     0.70262167    -1.46641249   178.43242893    38.06978294     0.17994811
  2.2520     0.69286044    -1.46283558   233.75760971    38.48955202     0.18141335
  2.2540     0.71029246    -1.46775292   168.57409617    36.20436574     0.17967087
  2.2560     0.68847245    -1.45671580   203.19275689    38.65842687     0.18370102
  2.2580     0.68090880    -1.45616804   277.23527313    39.04356744     0.18383264
  2.2600     0.67521958    -1.44464817   231.08598994    38.44596080     0.18824108
  2.2620     0.67450379    -1.44572000   272.32986215    40.07385296     0.18758277
  2.2640     0.67191346    -1.44353539   256.20180479    40.17535138     0.18883844
  2.2660     0.67849047    -1.44909107   265.25910797    37.46444951     0.18696457
  2.2680     0.67451546    -1.44252578   250.12741707    38.45496846     0.18927502
  2.2700     0.65664223    -1.43282686   290.17782505    41.97705651     0.19282914
  2.2720     0.66513056    -1.43139339   216.30434825    39.27381548     0.19321255
  2.2740     0.66053436    -1.43159025   259.56743896    39.70034627     0.19337772
  2.2760     0.64307134    -1.42452667   325.70748404    41.44502577     0.19598230
  2.2780     0.67815923    -1.43581269   199.40231307    37.50639476     0.19189037
  2.2800     0.62749069    -1.41262646   321.38155088    41.08841217     0.20035841
  2.2820     0.60238345    -1.40709018   393.49987673    44.80993536     0.20266147
  2.2840     0.61273101    -1.40454684   344.35630812    43.00993181     0.20351118
  2.2860     0.62292923    -1.40431484   282.38776095    39.12322965     0.20342167
  2.2880     0.54599712    -1.37254841   406.54318723    42.44909868     0.21535360
  2.2900     0.58950723    -1.39175091   382.07379630    42.82054351     0.20829053
  2.2920     0.61548591    -1.39198706   248.78135353    37.88834144     0.20840598
  2.2940     0.60542723    -1.39255403   288.18892522    37.63690553     0.20802573
  2.2960     0.61858657    -1.39389974   293.07243902    39.50243641     0.20757893
  2.2980     0.55802324    -1.37073337   372.03972305    40.50596656     0.21631398
